;name;image;appearences;description
478;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/5/59/Bruce_%28Earth-616%29_from_Captain_America_Comics_Vol_1_18_0001.jpg/revision/latest?cb=20190629172247;Captain America Comics Vol 1 18;Before going to the party Roddy Colt goes to Mr. Bruce to give him the war stamps and thanked him for buying them, but Mr. Bruce replied that he should not thank him, that for him it was a privilege to buy them, that he is buying of shares in freedom.[279]
479;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/6/6f/Bruce_%28Earth-616%29_from_Tales_to_Astonish_Vol_1_8_0001.jpg/revision/latest?cb=20190623141714;Tales to Astonish Vol 1 8;In 1965, a giant floating head appears over New York and proclaims it is the first to arrive in an invasion force. The army attack it but it disappears and reappears faster than the speed of light and the head explains they travel by there minds and can telepathically blow things up, demanding the entire city leave. A boy named Bruce figures out the truth that this is all a ruse by some criminals to rob the entire city and that the head is nothing more than a projection.[280]
480;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/2/26/Bruce_%28Earth-616%29_from_Sub-Mariner_Vol_1_72_0001.jpg/revision/latest?cb=20190624155651;Sub-Mariner Vol 1 72;Bruce and his friend were near the pier when Sub-Mariner emerged from the water and for no apparent reason but driven by an unjustified hatred Bruce threw himself at Namor hitting him with a flying kick. This infuriated Namor who reacted by hitting Bruce violently making him fly in the water and if it hadn't been for the intervention of his friend who threw himself into the water and rescued him Bruce would have drowned.[281]
481;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/8/8c/Bruce_%28Earth-616%29_from_Tomb_of_Dracula_Vol_1_34_0001.jpg/revision/latest?cb=20190626205859;Tomb of Dracula Vol 1 34;Bruce was a fashion designer who worked for Daphne von Wilkinson's fashion studio and was systematically abused by her.[282]
482;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/c/c5/Bruce_%28Earth-616%29_from_Avengers_Vol_1_195_0001.jpg/revision/latest?cb=20190626164956;Avengers Vol 1 195;Bruce was one of the guards hired by Dr. Pernell Solomon who worked in his institute where Taskmaster trained his agents inside.[283]
483;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/3/34/Bruce_%28Actor%29_%28Earth-616%29_from_Amazing_Spider-Man_Annual_Vol_1_21_001.png/revision/latest?cb=20161011170143;Amazing Spider-Man Annual Vol 1 21;Mentions: Peter Parker, The Spectacular Spider-Man Annual #7
484;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/b/ba/Bruce_%28Earth-616%29_from_Web_of_Spider-Man_Vol_1_41_0001.jpg/revision/latest?cb=20190623233725;Web of Spider-Man Vol 1 40;"Brother Bruce was a psychopath and pyromaniac loyal to the Cult of Love and especially to his leader the Teacher.[286]
Bruce died in the collapse of the Cult headquarters, also causing the Teacher's death, caused by a fire ignited by himself.[287]"
485;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/f/f5/Bruce_%28Earth-616%29_from_Marvel_Comics_Presents_Vol_1_14_001.png/revision/latest?cb=20170710091950;Marvel Comics Presents Vol 1 10;Bruce thanked Colossus for saving his family.[288]
486;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/c/c4/Bruce_%28Earth-66%29_from_Punisher_Back_to_School_Special_Vol_1_1_0001.jpg/revision/latest?cb=20190627202437;Punisher Back to School Special Vol 1 1;A student who didn't think school was necessary with one of his classmates but wanted to make easy money as an acquaintance of theirs by working for a drug dealer. When the Punisher broke into the den of the drug dealer killing everyone, Bruce and his companion were there and the Punisher frightened them saying he would keep an eye on them, and in doing so the two students returned to school and because of the warning of the Punisher no longer lost a lesson and sharply improved their grades.[289]
487;Bruce;https://static.wikia.nocookie.net/marveldatabase/images/2/28/Bruce_%28Earth-616%29_from_ClanDestine_Vol_1_2_0001.jpg/revision/latest?cb=20190626162333;ClanDestine Vol 1 2;Bruce was the director of the film on Cap'n Oz which had as its protagonist the Australian actor and secret a member of the Clan Destine William Chance.[290]
